sentence,cultural_context,csi_category,csi_hall_mapping,hall_level
They always <CSI> stand on the right </CSI> of the escalator to let others pass on the left.,Standing on the right side of escalators is an unspoken rule of British public transport etiquette.,Social Etiquette,Customs,Semi-visible
"The CEO gave a <CSI> pep talk </CSI> to the team, boosting morale before the big presentation.","Pep talks are a common leadership practice in American business culture, used to motivate and inspire teams.",Workplace Culture,Power,Invisible
She values <CSI> personal autonomy </CSI> in making life decisions.,Personal autonomy represents Western individual freedom in life choices.,Cultural Value,Individualism,Invisible
"When trying to initiate a business relationship, he used a <CSI> mutual contact </CSI> to introduce him, understanding that <CSI> familiarity </CSI> is valued in British business culture.","Building relationships in British business culture often involves introductions through a mutual contact or trusted third party, as familiarity fosters trust and credibility.",Workplace Culture,Action,Invisible
He got a <CSI> standing ovation </CSI> after his speech.,"In Western culture, standing ovations are a sign of great appreciation and respect, particularly in theater and public speaking.",Social Etiquette,Rituals,Semi-visible
He stepped <CSI> outside </CSI> of the café to <CSI> smoke </CSI> after asking his friends if they were okay with it.,"Stepping outside to smoke is expected in the West, as smoking is frowned upon when done near groups, and smokers are expected to ask permission or move away.",Social Etiquette,Appropriacy,Semi-visible
"On their road trip, they stopped to see <CSI> Mount Rushmore </CSI>, marveling at the massive faces carved into the mountain.","Mount Rushmore represents national pride, honoring presidents who shaped the nation’s history and ideals.",Cultural Reference,Environment,Invisible
Small talk focuses on neutral topics while <CSI> avoiding personal questions </CSI> with new acquaintances.,Avoiding personal questions with strangers respects boundaries in Western initial interactions.,Social Etiquette,Appropriacy,Semi-visible
The pampered <CSI> dog </CSI> has its own bedroom and birthday celebrations.,Pampered dogs receive human-like treatment reflecting American pet-as-family values.,Cultural Stereotype,Individualism,Invisible
Community organizers practice <CSI> grassroots activism </CSI> to effect local change.,Grassroots activism empowers American communities to address issues through collective action.,Social Tradition,Action,Invisible
"As a teacher, she believes in the power of <CSI> public education </CSI> to give every child a fair shot at success.","Public schools are a cornerstone of American democracy, reflecting the belief in education as a path to success and civic engagement.",Cultural Value,Structure,Invisible
Don't ask about <CSI> someone's weight or appearance </CSI> in personal conversations.,Commenting on weight or appearance is considered intrusive in Western social etiquette.,Social Etiquette,Appropriacy,Semi-visible
"She noticed the <CSI> subtle dry humour </CSI> in her British colleague's jokes, which often relied on understatements and sarcasm.","Subtle dry humour is a hallmark of British culture, frequently involving dry understatements and sarcasm that require attentiveness to subtle cues to fully appreciate the joke.",Cultural Reference,Communication,Invisible
Students attend class in <CSI> comfortable clothes </CSI> reflecting American educational informality.,Comfortable casual dress is accepted in American educational settings unlike formal European schools.,Social Tradition,Ways of Dress,Semi-visible
<CSI> Civil partnerships </CSI> provide legal recognition for diverse relationship types.,Civil partnerships acknowledge non-traditional relationships in British legal structures.,Cultural Reference,Structure,Invisible
The company sponsors <CSI> team lunches </CSI> every month to build camaraderie.,Team lunches foster workplace relationships through shared meals in Western corporate settings.,Workplace Culture,Customs,Semi-visible
"When she moved to a Western European country, she was surprised to find that dinner often started at <CSI> 7 or 8 PM </CSI>",Dinner starting at 7 or 8 PM is a common practice in Western European culture.,Social Tradition,Customs,Semi-visible
They pursued <CSI> arbitration </CSI> to avoid expensive courtroom battles.,Arbitration provides alternative dispute resolution in American business legal culture.,Workplace Culture,Structure,Invisible
The British comedy relied heavily on <CSI> irony and understatement </CSI> that foreign viewers sometimes missed.,"British humor is known for its subtle irony and understatement, which can be lost on audiences accustomed to more direct comedy.",Cultural Reference,Communication,Invisible
"Carnival is a <CSI> European tradition </CSI> with colorful parades and costumes, dating back to the Middle Ages.","Carnival is a European tradition and lively celebration of music, dance, and community, rooted in European history dating back to the Middle Ages.",Social Tradition,Rituals,Semi-visible
"Their dining table, made of <CSI> White Oak </CSI>, has been in the family for generations, a testament to its durability.","White Oak is a symbol of American craftsmanship, used in everything from furniture to historic ships.",Cultural Reference,Architecture,Visible
Companies maintain <CSI> legal departments </CSI> to handle potential <CSI> litigation </CSI>.,Legal departments reflect American business culture's litigation-driven dispute resolution.,Workplace Culture,Structure,Invisible
"In many families, it's customary to <CSI> pass down secret recipes </CSI> during festive gatherings on Mother's Day.",Sharing family recipes during celebrations emphasizes the transmission of cultural heritage in Western families.,Social Tradition,Rituals,Semi-visible
Leaders provide <CSI> regular feedback </CSI> rather than waiting for annual reviews.,Regular feedback maintains ongoing communication in Western workplace development.,Workplace Culture,Workplace Norms,Semi-visible
"She’s listening to <CSI> country music </CSI>, a genre deeply rooted in American culture.","Country music is a popular genre in North America, often associated with storytelling and rural life.",Cultural Reference,Music,Visible
"Their new house had the classic <CSI> peaked roof </CSI> and gables, making it feel like a storybook home.","Peaked roofs and gables are characteristic of American homes, reflecting both practicality and aesthetic traditions.",Cultural Reference,Architecture,Visible
Fans started doing the <CSI> tomahawk chop </CSI> during the team's rally.,The tomahawk chop is a distinctive team-specific gesture performed by fans at American games.,Sports Tradition,Visible Behaviour,Visible
Let's schedule a <CSI> brainstorming session </CSI> to generate ideas for the campaign.,Brainstorming sessions are structured creative meetings common in American corporate culture.,Workplace Culture,Workplace Customs,Semi-visible
He's always <CSI> networking </CSI> at industry events to advance his career.,Networking is a strategic activity for career advancement and building professional connections in American business.,Workplace Culture,Competitiveness,Invisible
"At their wedding, they gave guests <CSI> small glass trinkets </CSI> as favors, a tradition that began with European aristocrats centuries ago.","Wedding favors are a cherished European tradition, symbolizing gratitude and hospitality. They often reflect the couple’s personality or cultural heritage.",Social Tradition,Rituals,Semi-visible
They exchanged <CSI> wedding bands </CSI> during the ceremony as symbols of marriage.,Wedding band exchanges symbolize marital commitment in Western wedding ceremonies.,Social Tradition,Rituals,Semi-visible
She <CSI> passed </CSI> the salad bowl around the table without serving herself.,Passing dishes without taking any maintains Western table sharing etiquette flow.,Social Etiquette,Appropriacy,Semi-visible
"When the waiter got her order wrong, she refrained from <CSI> complaining loudly </CSI>, knowing that being overly critical in public could embarrass his British companions.","The British tend to avoid public confrontation, and complaining loudly in public settings is likely to make others uncomfortable.",Social Etiquette,Appropriacy,Semi-visible
They're celebrating <CSI> Guy Fawkes Night </CSI> with fireworks and a bonfire.,Guy Fawkes Night is a British tradition commemorating the foiling of the Gunpowder Plot with bonfires.,Social Tradition,Rituals,Semi-visible
She exchanged <CSI> hugs </CSI> with close friends while maintaining distance with acquaintances.,Hugs with close friends distinguish British intimacy levels in relationships.,Social Tradition,Customs,Semi-visible
The host circulated asking guests if they needed <CSI> drink refills </CSI>.,Offering refills demonstrates attentive hosting in American entertaining etiquette.,Social Etiquette,Appropriacy,Semi-visible
They purchased <CSI> gift cards </CSI> for the newlyweds to choose what they wanted.,Gift cards offer flexibility while avoiding cash impersonality in American gift-giving.,Social Tradition,Customs,Semi-visible
"During their trip, they enjoyed a rich European experience, from <CSI> fine dining </CSI> to exploring <CSI> historic castles </CSI>.","European hospitality often combines elegance with cultural immersion, from fine dining to exploring historic castles, offering unforgettable experiences for visitors.",Cultural Reference,Art,Visible
"She is used to <CSI> queue </CSI> politely and wait her turn, even in crowded places.",Queuing politely is a deeply ingrained social norm in British culture.,Social Etiquette,Customs,Semi-visible
The company held a <CSI> retirement party </CSI> with speeches and gifts.,Retirement parties celebrate career endings with ceremony in Western workplace culture.,Workplace Culture,Rituals,Semi-visible
The city's <CSI> fireworks display </CSI> at midnight attracted thousands to the riverfront.,New Year's fireworks displays create communal European celebration experiences and traditions.,Social Tradition,Rituals,Semi-visible
<CSI> Dual-income families </CSI> have become the norm in Western households.,Dual-income families represent economic necessity in modern Western family structures.,Cultural Reference,Structure,Invisible
The <CSI> textile mills </CSI> drove Britain's Industrial Revolution in the 19th century.,Textile mills represent British industrial heritage and economic transformation.,Cultural Reference,Institutions,Visible
We're going to the pub for a traditional <CSI> Sunday roast </CSI> with Yorkshire pudding.,Sunday roast with Yorkshire pudding is a classic British dining tradition.,Social Tradition,Food and Drink,Visible
<CSI> Sex education </CSI> curricula vary dramatically between conservative and liberal regions.,Sex education reflects American cultural battles over values and parental rights.,Social Tradition,Institutions,Visible
We should <CSI> take this offline </CSI> and discuss it separately.,Taking conversations offline is American corporate jargon for moving discussions outside meetings.,Workplace Culture,Workplace Customs,Semi-visible
He <CSI> opened the gift immediately </CSI> in front of the giver to show his appreciation.,"In American culture, opening the gift immediately in front of the giver is a common practice to show appreciation and gratitude, contrasting with some other cultures where gifts are opened privately.",Social Tradition,Rituals,Semi-visible
She does all her holiday shopping online during <CSI> Cyber Monday </CSI> sales.,Cyber Monday is the online shopping equivalent of Black Friday in American consumer culture.,Social Tradition,Rituals,Semi-visible
"She always makes a <CSI> cuppa tea </CSI> when I visit, a comforting gesture of British hospitality.","Cuppa tea' is a British slang term for a cup of tea, a staple of British culture and a common way to welcome guests.",Social Tradition,Food and Drink,Visible
The young couple planned to <CSI> divide domestic tasks </CSI> equitably unlike their parents' <CSI> gendered arrangements </CSI>.,Equal task division represents younger British couples' egalitarian relationship values.,Social Tradition,Structure,Invisible
"While making a peace sign for a photo, she made sure to turn the palm <CSI> outward </CSI>, knowing that the same gesture with the palm facing inward could be offensive in British culture.","In British culture, the V-sign with the palm facing outward is a symbol of victory or peace, but when the palm faces inward, it is a rude gesture equivalent to saying ""up yours.""",Cultural Reference,Appropriacy,Semi-visible
The Venice <CSI> Carnival masks </CSI> are handcrafted using traditional techniques and designs.,Carnival masks represent European artistic traditions and festive cultural expression.,Social Tradition,Rituals,Semi-visible
Americans often go for a <CSI> brunch </CSI> on Sundays.,"Brunch, a combination of breakfast and lunch, is a popular social meal in American culture.",Social Tradition,Food and Drink,Visible
"He’s the <CSI> breadwinner </CSI> of the family, working long hours to support his loved ones.","The concept of the 'breadwinner' reflects traditional family roles in some Western cultures, where one person is the primary earner.",Cultural Stereotype,Power,Invisible
She practices <CSI> confidential discussions </CSI> when addressing sensitive workplace matters.,Confidential discussions maintain trust and professionalism in American management communication.,Workplace Culture,Communication,Invisible
She asked for a <CSI> takeout box </CSI> to bring home her leftovers after the large portion she was served at the restaurant.,"American restaurants often serve large portions, and it is common to ask for a takeout box to package leftovers to take home, a practice that reflects practicality and reduces waste.",Social Tradition,Customs,Semi-visible
"He's such a <CSI> people person </CSI>, clients always love working with him.",A people person has strong interpersonal skills and enjoys interacting with others in Western culture.,Social Etiquette,Communication,Invisible
We're attending a <CSI> state fair </CSI> this weekend with livestock shows and carnival rides.,State fairs are annual celebrations featuring agriculture exhibits and entertainment across American states.,Social Tradition,Rituals,Semi-visible
Couples are <CSI> delaying parenthood </CSI> to establish <CSI> financial stability </CSI> first.,Delaying parenthood allows British couples to achieve career and financial goals.,Cultural Reference,Structure,Invisible
He's a dedicated <CSI> volunteer </CSI> who serves meals at the soup kitchen weekly.,A volunteer is someone who donates their time to help community causes in Western culture.,Cultural Reference,Action,Invisible
"When dining out, I always <CSI> tip the waiter </CSI> at least 10% of the bill.","Tipping is a standard practice in English-speaking countries, but in other cultures, tipping is not customary and may even be considered rude.",Social Etiquette,Customs,Semi-visible
We're going to a <CSI> costume party </CSI> where everyone dresses up in fun outfits.,"Costume parties are a common social tradition in American culture, where guests dress up in costumes for a themed event, but may not be as common in other cultures.",Social Tradition,Rituals,Semi-visible
She transitioned to <CSI> part-time work </CSI> after her <CSI> first child </CSI> was born.,Part-time work enables British mothers to balance employment and childcare responsibilities.,Social Tradition,Structure,Invisible
The company organizes <CSI> office parties </CSI> for birthdays and holidays.,Office parties celebrate milestones and holidays fostering team spirit in American workplaces.,Workplace Culture,Workplace Customs,Semi-visible
"When she visited the UK, she noticed that every British coin had a portrait of the reigning <CSI> monarch </CSI>, a tradition that felt like holding a piece of history.",The monarch’s portrait on British coins symbolizes the nation’s deep ties to its royal heritage and continuity.,Cultural Reference,Art,Visible
<CSI> Trial cohabitation </CSI> has become normalized British relationship milestone.,Trial living together represents accepted British pre-marriage relationship stage.,Social Tradition,Rituals,Semi-visible
"At the wedding, the British <CSI> bridesmaids </CSI> walked gracefully behind the bride, adding to the ceremony’s charm.","Bridesmaids in British weddings follow the bride in a formal procession, a tradition that adds elegance to the event.",Social Tradition,Rituals,Semi-visible
She’s always using <CSI> polite euphemisms </CSI> to avoid being too direct.,Polite euphemisms are often used in British culture to soften communication.,Social Etiquette,Communication,Invisible
She enjoys <CSI> gardening </CSI> on weekends to beautify her backyard space.,Gardening activities reflect American/British homeowner investment in property beautification.,Cultural Reference,Action,Invisible
The museum displays authentic <CSI> Native American pottery </CSI> from various tribes.,Native American pottery preserves indigenous artistic heritage within American cultural history.,Cultural Reference,Art,Visible
She's a total <CSI> yuppie </CSI> with her luxury car and downtown condo.,A yuppie (young urban professional) represents upwardly mobile professionals focused on career and lifestyle in American culture.,Cultural Stereotype,Stereotype,Invisible
They're <CSI> backpacking through Europe </CSI> after college graduation.,"Backpacking through Europe is a rite of passage for many young Americans, representing exploration and independence before career responsibilities.",Social Tradition,Action,Invisible
She gave a <CSI> gentle laugh </CSI> at the joke avoiding <CSI> strong agreement </CSI>.,Gentle laughter acknowledges British humor without reinforcing negative self-assessment.,Social Etiquette,Appropriacy,Semi-visible
The <CSI> wedding breakfast </CSI> reception followed the church ceremony.,Wedding breakfasts are traditional British post-ceremony celebration meals.,Social Tradition,Rituals,Semi-visible
"She politely <CSI> declined giving cash </CSI> as a gift, knowing it is generally inappropriate unless agreed upon beforehand.","Declining to give cash as a gift is common in American culture, as giving cash is often seen as impersonal and inappropriate unless there is a prior understanding between the giver and receiver.",Social Etiquette,Appropriacy,Semi-visible
British friends show affection by <CSI> taking the piss </CSI> during pub conversations.,Taking the piss strengthens British friendships through humorous mockery.,Social Etiquette,Communication,Invisible
"She  <CSI> apologized </CSI> even when it wasn’t her fault,typical British politeness.","Apologizing excessively, even when not at fault, is a common trait in British culture.",Social Etiquette,Customs,Semi-visible
We’re going to a <CSI> farmers' market </CSI> to buy fresh produce.,Farmers' markets are community events where local farmers sell fresh goods.,Social Tradition,Rituals,Semi-visible
I'm taking a <CSI> mental health day </CSI> tomorrow.,Mental health days reflect evolving Western workplace values around holistic health.,Workplace Culture,Action,Invisible
They’re planning a <CSI> beach bonfire </CSI> with friends this summer.,Beach bonfires are popular social gatherings in coastal areas of the US.,Social Tradition,Rituals,Semi-visible
He <CSI> knocked on wood </CSI> after making a positive statement to avoid jinxing it.,Knocking on wood prevents jinxing good fortune in American superstitious behaviors.,Cultural Reference,Visible Behaviour,Visible
The historic <CSI> opera house </CSI> hosts world-class performances throughout the season.,Opera houses represent European cultural institutions preserving performing arts traditions.,Cultural Reference,Institutions,Visible
"She noticed that her British colleagues generally <CSI> avoid </CSI> airing negative emotions in public, preferring to express them privately.","British culture often values avoiding airing negative emotions in public, with a preference for handling negative feelings or dissent privately rather than publicly through emotional restraint.",Social Etiquette,Communication,Invisible
"He helped his neighbor build a <CSI> resume </CSI> so they could <CSI> help themselves </CSI> find a job, rather than doing everything for them.","In American culture, assistance is often framed to empower individuals to take responsibility for their own success, reflecting the value of independence.",Social Etiquette,Action,Invisible
"She refrained from using exaggerated <CSI> stereotypes </CSI> or pop culture references to describe Americans, as these often misrepresent the diversity of the U.S. population.","Americans are aware of stereotypes promoted by media and pop culture and may find them inaccurate or offensive, as they do not reflect the diversity of the population.",Cultural Stereotype,Appropriacy,Semi-visible
The <CSI> Union Jack </CSI> flag flies prominently at government buildings.,The Union Jack represents British national identity through symbolic flag displays.,Cultural Reference,Art,Visible
They’re celebrating <CSI> Day of the Dead </CSI> with altars and offerings in Mexico.,Day of the Dead is a Mexican holiday honoring deceased loved ones with altars and offerings.,Social Tradition,Rituals,Semi-visible
The <CSI> foam finger and team jersey </CSI> are essential for true fans at the game.,"Foam fingers and team jerseys are distinctive fan merchandise that demonstrates team loyalty, particularly common in American spectator sports.",Sports Tradition,Dress,Visible
He observed how highly <CSI> military veterans </CSI> are revered in American society.,"Military veterans are held in high regard by much of the American population, reflecting the cultural value placed on military service and the respect accorded to those who have served.",Social Tradition,Structure,Invisible
"The children were seated at a <CSI> kids table </CSI> during Thanksgiving dinner, while the adults conversed at the main table.","In American culture, children are often seated at a kids table during meals to allow adults to have uninterrupted conversations at the main table.",Social Tradition,Structure,Invisible
She carefully oriented her <CSI> hand gesture </CSI> correctly to avoid the <CSI> insulting variation </CSI>.,Correct hand gesture orientation prevents British offensive gesture misunderstandings.,Cultural Reference,Appropriacy,Semi-visible
They go <CSI> Black Friday shopping </CSI> every year after Thanksgiving.,"Black Friday shopping is post-Thanksgiving shopping for discounted goods, representing American consumer culture and deal-hunting.",Cultural Reference,Rituals,Semi-visible
They’re attending a <CSI> ceilidh dance </CSI> in Scotland this weekend.,Ceilidh dances are traditional Scottish social events with folk music and dancing.,Social Tradition,Rituals,Semi-visible
They always <CSI> split the bill evenly </CSI> when dining out with friends.,"Splitting the bill is a standard practice in American and British dining culture, emphasizing fairness and independence.",Social Etiquette,Customs,Semi-visible
She matched with potential partners on <CSI> dating apps </CSI> facilitating modern <CSI> romantic connections </CSI>.,Dating apps transform British romantic connection formation methods.,Social Tradition,Customs,Semi-visible
He's a <CSI> hipster </CSI> who loves vintage clothing and indie music.,"The term 'hipster' is an American cultural stereotype referring to a person who follows alternative fashion and music trends, often viewed as non-conformist.",Cultural Stereotype,Stereotype,Invisible
He's a <CSI> sugar daddy </CSI> who provides for his younger girlfriend financially.,Sugar daddies exchange financial support for companionship in Western relationship stereotypes.,Cultural Stereotype,Stereotype,Invisible
He followed the <CSI> house rules </CSI> about outdoor footwear inside.,Following house rules about shoes respects host preferences in Western homes.,Social Etiquette,Customs,Semi-visible
"Despite debates about its relevance, the British <CSI> monarchy </CSI> remains a symbol of tradition and national pride.","The monarchy and European monarchies blend historical significance with modern roles, often serving as cultural icons and unifying figures.",Cultural Reference,Structure,Invisible
The manager provided <CSI> constructive feedback </CSI> emphasizing employee <CSI> capabilities </CSI> and growth areas.,Constructive feedback balances strengths with improvement areas in American management practices.,Workplace Culture,Communication,Invisible
"She bought a <CSI> hand-blown glass ornament </CSI> from a local artisan, marveling at the skill passed down through generations.","European glassblowing is a celebrated craft, particularly in regions like Murano, Italy. Each piece reflects centuries of artistry and tradition.",Cultural Reference,Art,Visible
The manager practices <CSI> empowerment </CSI> by delegating authority to team members.,Empowerment distributes decision-making power in Western management philosophy.,Workplace Culture,Power,Invisible
She says <CSI> 'When you have a moment...' </CSI> to make urgent requests sound optional.,Using 'When you have a moment...' is British indirect phrasing making demands seem less pressing.,Social Etiquette,Styles of Discourse,Semi-visible
He's a <CSI> mama's boy </CSI> who still lives at home at age 30.,Mama's boys are men overly dependent on their mothers in American cultural stereotypes.,Cultural Stereotype,Stereotype,Invisible
He has a <CSI> winning mentality </CSI> that drives him to excel in everything.,A winning mentality reflects American cultural emphasis on competitive success.,Cultural Value,Competitiveness,Invisible
They avoided controversial topics like <CSI> abortion </CSI> at the family gathering.,Abortion discussions divide Americans deeply along moral and political lines.,Social Etiquette,Appropriacy,Semi-visible
He’s climbing the <CSI> corporate ladder </CSI> faster than anyone else.,Climbing the corporate ladder refers to career progression and ambition in Western businesses.,Workplace Culture,Competitiveness,Invisible
"During <CSI> Easter </CSI>, they painted <CSI> eggs </CSI> with intricate designs, a tradition that symbolizes new life and fertility in many European cultures.","Eggs are a central symbol of Easter in Europe, representing rebirth and renewal. Decorating eggs is a cherished activity that brings families together.",Social Tradition,Rituals,Semi-visible
We’re going to a <CSI> wine tasting </CSI> event this weekend.,"Wine tasting is a popular social activity in the US, especially in wine-producing regions.",Social Tradition,Food and Drink,Visible
She's planning a <CSI> sweet sixteen party </CSI> with a DJ and formal dresses.,"A sweet sixteen party is an elaborate celebration for a girl's 16th birthday with a DJ and formal dresses, representing American coming-of-age rituals.",Social Tradition,Rituals,Semi-visible
"Never show up empty-handed, always <CSI> bring something to share </CSI> when invited to gatherings.",Bringing contributions to gatherings shows gratitude and reciprocity in Western social customs.,Social Etiquette,Customs,Semi-visible
He practices <CSI> emotional restraint </CSI> even during difficult workplace situations.,Emotional restraint characterizes British professional behavior and social interactions.,Social Etiquette,Communication,Invisible
The community organizes an annual <CSI> fishing derby </CSI> at the lake each spring.,Fishing derbies bring communities together through competitive outdoor recreation traditions.,Social Tradition,Rituals,Semi-visible
We're checking out the new <CSI> food truck festival </CSI> downtown this Saturday.,Food truck festivals showcase diverse culinary offerings and are popular social events in American cities.,Social Tradition,Food and Drink,Visible
"This weekend, the clocks go <CSI> back an hour </CSI>, marking the start of British <CSI> Summer Time </CSI>.","The changing of clocks is a biannual ritual in the UK, signaling the shift between standard time and daylight saving time.",Social Tradition,Rituals,Semi-visible
She recognized the American emphasis on <CSI> national identity </CSI> in cultural conversations.,National identity features prominently in American self-conception and cultural discourse.,Social Tradition,Thinking,Invisible
The company issued <CSI> two weeks' notice </CSI> before the layoffs took effect.,Two weeks' notice is standard termination protocol in American employment practices.,Workplace Culture,Workplace Norms,Semi-visible
Young professionals prioritize <CSI> travel and experiences </CSI> before <CSI> settling down </CSI>.,Prioritizing experiences before settling reflects British individualistic life priorities.,Cultural Reference,Structure,Invisible
"We’re going to a <CSI> county fair </CSI> this weekend,there’ll be rides and fried food.","County fairs are annual American events featuring entertainment, food, and agricultural exhibits.",Social Tradition,Rituals,Semi-visible
She practiced <CSI> emotional restraint </CSI> during the disagreement avoiding <CSI> raised voices </CSI>.,Emotional restraint prevents British social discomfort from passionate displays.,Social Etiquette,Appropriacy,Semi-visible
You should <CSI> avoid raising your voice during a disagreement </CSI>; it comes across as aggressive.,"In English culture, avoiding raising your voice during disagreements is valued as calm and measured tones are preferred, but in Greek culture, passionate expression might be more acceptable.",Social Etiquette,Communication,Invisible
We're throwing a <CSI> Super Bowl party </CSI> at our place with snacks and drinks!,Super Bowl parties are annual American gatherings to watch the championship game with friends and food.,Social Tradition,Rituals,Semi-visible
Alumni return for <CSI> homecoming </CSI> festivities to reconnect with their old school.,Homecoming celebrations bring together current students and alumni in American school traditions.,Social Tradition,Rituals,Semi-visible
Don't ask <CSI> personal questions about age or salary </CSI> when first meeting someone.,Avoiding personal questions about age or salary respects privacy boundaries in Western social interactions.,Social Etiquette,Appropriacy,Semi-visible
"She avoided complaining in public, knowing that British culture often <CSI> discourages making a fuss </CSI> or speaking out of turn.","British culture discourages making a fuss in public, as complaining or creating unnecessary fuss is often frowned upon and seen as disruptive or inappropriate.",Social Etiquette,Appropriacy,Semi-visible
"She noticed that retirement ages in Britain are <CSI> rising </CSI>, with many people working beyond the state pension age.","Retirement ages in Britain are rising, with the state pension age at 67 for men and 65 for women, and it is now common for British people to remain in the workforce longer, reflecting changing economic and societal norms.",Social Tradition,Structure,Invisible
He's a <CSI> lone wolf </CSI> who prefers working independently on projects.,Lone wolves value independence and autonomy in American individualistic culture.,Cultural Stereotype,Individualism,Invisible
Voting rights and election procedures vary significantly by <CSI> state </CSI> jurisdiction.,State variations in election laws reflect American federalist political structure.,Social Tradition,Institutions,Visible
"The garden, with its neatly <CSI> trimmed hedges </CSI> and lush lawn, felt like a private paradise.","European gardens are known for their formal design, emphasizing symmetry and natural beauty.",Cultural Reference,Architecture,Visible
She’s a <CSI> fitness freak </CSI> who goes to the gym every day.,A fitness freak refers to someone obsessed with physical fitness.,Cultural Reference,Action,Invisible
They're <CSI> glamping </CSI> this weekend for a luxury camping experience.,Glamping combines outdoor adventure with comfort reflecting modern American vacation preferences.,Social Tradition,Action,Invisible
"When greeting close friends, he gave them a <CSI> pat on the back </CSI>, knowing that physical contact is typically reserved for familiar relationships in British culture.","Physical contact in Britain is generally limited to close relationships, with gestures like a pat on the back or backslapping being common among friends but less frequent in formal or unfamiliar settings.",Social Tradition,Customs,Semi-visible
The <CSI> extended family </CSI> gathers for major holidays and celebrations.,Extended families maintain connections across multiple generations in Western culture.,Cultural Value,Structure,Invisible
The British colleagues enjoyed <CSI> taking the piss out of each other </CSI> as a form of friendly banter.,"British humor often includes playful teasing as a sign of camaraderie, though it can be misunderstood in more formal cultures.",Social Etiquette,Communication,Invisible
I always say <CSI> 'please' </CSI> when asking my siblings to pass something at the dinner table.,Saying 'please' when making requests is ingrained in English family dining etiquette as a sign of politeness.,Social Etiquette,Customs,Semi-visible
"Driving on the <CSI> left side of the road </CSI> felt strange at first, but she quickly got used to.","Driving on the left is a distinctive feature of British road rules, rooted in historical tradition.",Cultural Reference,Institutions,Visible
I always ask open-ended questions like <CSI> 'What do you think?' </CSI> to keep conversations engaging in a meeting.,"In English culture, asking open-ended questions like 'What do you think?' is used to encourage dialogue and keep conversations engaging, but in other cultures, more specific or directive questions might be preferred.",Workplace Culture,Communication,Invisible
The <CSI> Underground </CSI> system efficiently transports millions of Londoners daily.,The Underground represents iconic British public transportation infrastructure.,Cultural Reference,Institutions,Visible
"At dinner, it's customary to use proper <CSI> cutlery etiquette </CSI>, starting with the outermost utensils and working inward.","Using proper cutlery etiquette, starting with the outermost utensils and working inward, reflects formal dining protocols in Western cultures where table manners are highly valued.",Social Etiquette,Appropriacy,Semi-visible
"She noted that women in Britain are having children <CSI> later in life </CSI>, with the average age of first childbirth being 29.","Women in Britain are choosing to have children later in life compared to previous generations, influenced by career ambitions and personal goals.",Social Tradition,Time,Invisible
The school is organizing a field trip to the <CSI> rodeo </CSI> next month.,Rodeos are educational experiences showcasing Western heritage and cowboy traditions in American culture.,Social Tradition,Rituals,Semi-visible
The crowd performed the <CSI> wave around </CSI> the entire stadium.,A99,Sports Tradition,Visible Behaviour,Visible
The couple built a <CSI> log cabin </CSI> in the mountains as a retreat.,Log cabins represent American frontier heritage and rustic lifestyle aspirations.,Social Tradition,Architecture,Visible
She was surprised when her American friend asked <CSI> 'How much did that cost?' </CSI> about her new purchase.,"Americans are often open about discussing money, which can feel intrusive in cultures where financial matters are private.",Social Etiquette,Appropriacy,Semi-visible
"She’s always using <CSI> indirect language </CSI> to avoid causing offense,it’s a British trait.",Indirect language to avoid causing offense is a trait of British culture.,Social Etiquette,Communication,Invisible
"The iconic <CSI> red telephone box </CSI>, though rarely used now, remains a beloved symbol of British culture.","The red telephone box is an enduring emblem of British design and heritage, recognized worldwide.",Cultural Reference,Architecture,Visible
The building omitted floor <CSI> 13 </CSI> jumping from 12 to 14 due to <CSI> superstition </CSI>.,Superstitions about number 13 influence American building design and numbering systems.,Cultural Reference,Thinking,Invisible
Most passengers <CSI> thank the bus driver </CSI> as they exit in friendly communities.,Thanking bus drivers acknowledges their service in polite British public behavior.,Social Etiquette,Customs,Semi-visible
She noticed that views on <CSI> premarital sex </CSI> and contraception are highly politicized and vary by region in America.,"Topics such as premarital sex, contraception, and reproductive health are politically and socially divisive in the U.S., with attitudes differing by region and background.",Social Tradition,Institutions,Visible
"She strongly believes in <CSI> freedom of speech </CSI>, a cornerstone of democratic societies.","Freedom of speech is a fundamental value in Western democracies, emphasizing the right to express opinions without censorship.",Cultural Value,Thinking,Invisible
The debate over <CSI> gun ownership </CSI> rights divides American communities deeply.,Gun ownership debates reflect fundamental American disagreements about constitutional rights and safety.,Social Tradition,Customs,Semi-visible
"They celebrated their anniversary with <CSI> dinner and a movie </CSI>, a classic American <CSI> date night </CSI>.","Dinner and a movie is a quintessential American date night tradition, symbolizing romance and leisure.",Social Tradition,Rituals,Semi-visible
"They spent their holiday exploring <CSI> Christmas markets </CSI>, sipping mulled wine, and soaking in the festive atmosphere.","Christmas markets are a beloved European tradition, offering festive food, crafts, and a sense of community.",Social Tradition,Rituals,Semi-visible
"Her neighbor’s British <CSI> Shorthair cat </CSI>, with its plush gray coat and laid-back personality, quickly became the favorite of everyone in the building.","The British Shorthair is a breed with a long history in Britain, symbolizing elegance and tradition.",Cultural Reference,Visible Behaviour,Visible
Cannabis legalization differs dramatically across <CSI> states </CSI> creating legal patchwork.,State-by-state drug laws create complex legal landscape in American federalist system.,Social Tradition,Institutions,Visible
